title,description,category,priority
Missing lab equipment,One of the lab workstations is not working. I noticed this problem at Hostel A.,Laboratory,High
Cleaning required,There is water leakage that requires immediate repair.,Maintenance,Medium
Plumbing problem,The area requires proper cleaning. I noticed this problem at Main Building.,Maintenance,Low
Lab workstation problem,There is a problem with the laboratory facilities. Students at Main Gate are affected.,Laboratory,Medium
Library timing problem,The digital library is not accessible. The issue is at Campus.,Library,Low
Hostel room issue,My hostel room requires maintenance.,Hostel,Low
Missing bus service,The transport timing is inconvenient. I noticed this problem at Main Building.,Transport,Medium
Marks not updated,My attendance is incorrect in the academic record.,Academic,Medium
Water supply problem,Water supply has been irregular in the hostel. Students at Sports Complex are affected.,Hostel,High
Broken classroom equipment,Several chairs and desks are damaged. I noticed this problem at Main Building.,Infrastructure,High
Hostel facility problem,The bathroom facilities require attention. I noticed this problem at Laboratory Block.,Hostel,Medium
Broken classroom equipment,There is a problem with the classroom facilities. This has been causing inconvenience at Hostel A.,Infrastructure,High
Library book unavailable,There are not enough seats available in the library. Students at Main Building are affected.,Library,High
Hostel facility problem,The hostel common area is not being cleaned properly. This has been causing inconvenience at Sports Complex.,Hostel,Medium
Bus route problem,The college bus service is facing a problem. This has been causing inconvenience at Campus.,Transport,Medium
Hostel facility problem,The bathroom facilities require attention. The issue is at Hostel B.,Hostel,Low
Bathroom issue,A basic hostel facility is not working properly. This has been causing inconvenience at Hostel A.,Hostel,Medium
Marks not updated,My internal assessment marks appear to be incorrect. Students at Main Building are affected.,Academic,Medium
Water leakage,A campus facility is damaged and needs repair. This has been causing inconvenience at Computer Lab.,Maintenance,High
Hostel cleanliness problem,There is a problem with my hostel room. This has been causing inconvenience at Laboratory Block.,Hostel,Low
Digital library issue,There are not enough seats available in the library. The issue is at Laboratory Block.,Library,Low
Digital library issue,A computer in the library is not working. I noticed this problem at Computer Lab.,Library,Medium
Classroom infrastructure issue,Water is leaking from the classroom ceiling. Students at Main Gate are affected.,Infrastructure,Medium
Electrical repair required,The area requires proper cleaning. The issue is at Computer Lab.,Maintenance,High
Campus WiFi issue,WiFi is not working in my hostel. The issue is at Academic Block.,IT / Wi-Fi,Medium
Transport facility issue,There is an issue with the current bus route. I noticed this problem at Campus.,Transport,High
Bus delay,The college bus arrived late today. The issue is at Library.,Transport,Medium
Internal marks issue,My attendance is incorrect in the academic record.,Academic,High
Building maintenance issue,Some equipment in the classroom is damaged. Students at Hostel A are affected.,Infrastructure,High
Faculty related issue,My marks have not been updated on the student portal. Students at Academic Block are affected.,Academic,Low
Classroom infrastructure issue,There is a problem with the classroom facilities. This has been causing inconvenience at Hostel B.,Infrastructure,Medium
Water supply problem,Water supply has been irregular in the hostel.,Hostel,Medium
Hostel cleanliness problem,My hostel room requires maintenance. This has been causing inconvenience at Library.,Hostel,Medium
Hostel room allocation issue,There is an electricity problem in the hostel. The issue is at Academic Block.,Hostel,Medium
Library computer issue,A computer in the library is not working. Students at Main Building are affected.,Library,High
Campus infrastructure problem,Several chairs and desks are damaged. Students at Computer Lab are affected.,Infrastructure,Low
Broken classroom equipment,Water is leaking from the classroom ceiling. The issue is at Hostel C.,Infrastructure,High
Hostel room issue,There is a problem with my hostel room. The issue is at Hostel C.,Hostel,Medium
Damaged facility,The ceiling fan is not working. Students at Academic Block are affected.,Maintenance,Medium
Transport facility issue,The transport timing is inconvenient.,Transport,Low
Electrical infrastructure issue,Some equipment in the classroom is damaged. I noticed this problem at Main Gate.,Infrastructure,Medium
Water leakage,The lights in the room are not working. The issue is at Academic Block.,Maintenance,Low
Book return issue,The required reference book is unavailable. Students at Main Gate are affected.,Library,High
Lab equipment problem,There is a safety issue in the laboratory. Students at Hostel B are affected.,Laboratory,Critical
Bus maintenance problem,The college bus service is facing a problem. The issue is at Hostel C.,Transport,Low
Library seat problem,I am facing an issue while returning a library book. I noticed this problem at Laboratory Block.,Library,Medium
Bus delay,There is an issue with the current bus route.,Transport,Medium
Classroom infrastructure issue,There is an electrical infrastructure problem. The issue is at Campus.,Infrastructure,Low
Computer network issue,I cannot log in to the student portal. Students at Laboratory Block are affected.,IT / Wi-Fi,Medium
Internet connectivity problem,I cannot log in to the student portal. The issue is at Academic Block.,IT / Wi-Fi,Medium
Broken light,A maintenance request has been pending. The issue is at Academic Block.,Maintenance,High
Bus delay,There is a problem with the transport facility. Students at Hostel C are affected.,Transport,High
Ceiling leakage,The campus infrastructure needs attention. This has been causing inconvenience at Hostel C.,Infrastructure,Medium
Library seat problem,I am facing an issue while returning a library book. Students at Library are affected.,Library,Low
Result not updated,The examination schedule has not been updated properly. This has been causing inconvenience at Hostel B.,Academic,High
Broken fan,The area requires proper cleaning. I noticed this problem at Academic Block.,Maintenance,Medium
Building maintenance issue,Some equipment in the classroom is damaged.,Infrastructure,High
Computer network issue,The computer network is not accessible. The issue is at Main Building.,IT / Wi-Fi,High
Student portal not working,I cannot log in to the student portal.,IT / Wi-Fi,Medium
Classroom infrastructure issue,Water is leaking from the classroom ceiling. The issue is at Hostel A.,Infrastructure,High
Internal marks issue,My internal assessment marks appear to be incorrect. The issue is at Computer Lab.,Academic,High
Transport timing problem,There is an issue with the current bus route. The issue is at Campus.,Transport,High
Campus WiFi issue,I cannot log in to the student portal. Students at Main Building are affected.,IT / Wi-Fi,Low
Faculty related issue,My semester result is still not showing. This has been causing inconvenience at Hostel C.,Academic,Low
Bus maintenance problem,The college bus service is facing a problem. Students at Laboratory Block are affected.,Transport,Medium
Bus delay,There is an issue with the current bus route. I noticed this problem at Laboratory Block.,Transport,Low
Lab workstation problem,Practical equipment appears to be damaged.,Laboratory,Medium
Hostel electricity problem,There is a problem with my hostel room. I noticed this problem at Campus.,Hostel,Low
Room maintenance issue,There is an electricity problem in the hostel.,Hostel,Low
Digital library issue,The library timing is causing difficulty for students.,Library,Low
Campus WiFi issue,I cannot log in to the student portal.,IT / Wi-Fi,Low
Transport timing problem,The transport timing is inconvenient. I noticed this problem at Library.,Transport,Medium
Plumbing problem,There is water leakage that requires immediate repair. I noticed this problem at Hostel B.,Maintenance,Medium
Bus maintenance problem,There is an issue with the current bus route.,Transport,Medium
Missing bus service,There is an issue with the current bus route. This has been causing inconvenience at Academic Block.,Transport,Low
Room maintenance issue,I have an issue with my hostel room allocation. The issue is at Main Building.,Hostel,Low
Classroom problem,Some equipment in the classroom is damaged. This has been causing inconvenience at Hostel C.,Infrastructure,Medium
WiFi not working,I am facing a network connectivity problem.,IT / Wi-Fi,Medium
Missing bus service,There is a problem with the transport facility. The issue is at Computer Lab.,Transport,Medium
Internet connectivity problem,WiFi is not working in my hostel.,IT / Wi-Fi,Medium
Cleaning required,The area requires proper cleaning.,Maintenance,High
Bus overcrowding,The college bus service is facing a problem. Students at Main Building are affected.,Transport,Medium
Computer network issue,I cannot log in to the student portal. The issue is at Main Building.,IT / Wi-Fi,Medium
Library seat problem,The required reference book is unavailable.,Library,High
Classroom problem,Several chairs and desks are damaged. Students at Hostel C are affected.,Infrastructure,Medium
Internet connectivity problem,WiFi is not working in my hostel.,IT / Wi-Fi,Medium
Bus overcrowding,The scheduled bus service did not arrive. Students at Hostel C are affected.,Transport,Low
Digital library issue,The library timing is causing difficulty for students. This has been causing inconvenience at Library.,Library,Medium
Laboratory computer issue,The equipment required for the practical is not working. This has been causing inconvenience at Laboratory Block.,Laboratory,Medium
Missing bus service,The college bus service is facing a problem.,Transport,Medium
Laboratory facility issue,Practical equipment appears to be damaged. Students at Sports Complex are affected.,Laboratory,High
Library computer issue,The required reference book is unavailable. Students at Hostel A are affected.,Library,High
Bathroom issue,There is a problem with my hostel room.,Hostel,Medium
Missing bus service,There is an issue with the current bus route. The issue is at Library.,Transport,Medium
Network connection problem,The student portal is not working properly. The issue is at Hostel A.,IT / Wi-Fi,High
Room maintenance issue,The hostel common area is not being cleaned properly. I noticed this problem at Computer Lab.,Hostel,Low
Library facility problem,The library timing is causing difficulty for students. I noticed this problem at Laboratory Block.,Library,High
Library book unavailable,There are not enough seats available in the library. I noticed this problem at Library.,Library,Medium
Bus route problem,The transport timing is inconvenient. This has been causing inconvenience at Computer Lab.,Transport,High
Missing lab equipment,One of the lab workstations is not working. Students at Laboratory Block are affected.,Laboratory,Low
Building maintenance issue,There is a problem with the classroom facilities.,Infrastructure,Medium
Room maintenance issue,Water supply has been irregular in the hostel. This has been causing inconvenience at Hostel A.,Hostel,Medium
Broken fan,A campus facility is damaged and needs repair. Students at Sports Complex are affected.,Maintenance,Medium
Ceiling leakage,There is a problem with the classroom facilities. This has been causing inconvenience at Campus.,Infrastructure,Low
Practical equipment damaged,There is a problem with the laboratory facilities. This has been causing inconvenience at Campus.,Laboratory,Medium
Marks not updated,The examination schedule has not been updated properly. I noticed this problem at Main Building.,Academic,High
Bathroom issue,My hostel room requires maintenance. This has been causing inconvenience at Hostel C.,Hostel,Medium
Attendance issue,My semester result is still not showing. The issue is at Computer Lab.,Academic,Medium
Transport facility issue,The college bus is overcrowded. This has been causing inconvenience at Main Gate.,Transport,Low
Library book unavailable,There are not enough seats available in the library.,Library,Low
Campus infrastructure problem,There is an electrical infrastructure problem. I noticed this problem at Hostel C.,Infrastructure,Medium
Result not updated,I am facing a problem while registering for my course. I noticed this problem at Laboratory Block.,Academic,Low
Practical equipment damaged,A computer in the laboratory is not functioning. Students at Campus are affected.,Laboratory,Medium
Hostel room allocation issue,There is an electricity problem in the hostel. I noticed this problem at Library.,Hostel,Medium
Library computer issue,The digital library is not accessible. The issue is at Hostel C.,Library,Medium
Laboratory maintenance,There is a problem with the laboratory facilities. I noticed this problem at Laboratory Block.,Laboratory,Medium
Hostel cleanliness problem,I have an issue with my hostel room allocation. Students at Campus are affected.,Hostel,Medium
Room maintenance issue,A basic hostel facility is not working properly. The issue is at Hostel B.,Hostel,Medium
Faculty related issue,I am facing a problem while registering for my course. I noticed this problem at Main Building.,Academic,Medium
Missing bus service,The college bus service is facing a problem. The issue is at Main Building.,Transport,Low
Campus WiFi issue,Campus WiFi keeps disconnecting. I noticed this problem at Academic Block.,IT / Wi-Fi,Medium
Campus WiFi issue,The internet connection is unavailable. The issue is at Laboratory Block.,IT / Wi-Fi,High
Hostel room issue,A basic hostel facility is not working properly. The issue is at Laboratory Block.,Hostel,Medium
Hostel room issue,There is a problem with my hostel room. The issue is at Computer Lab.,Hostel,Medium
Attendance issue,My semester result is still not showing. The issue is at Main Gate.,Academic,Low
Hostel cleanliness problem,The hostel common area is not being cleaned properly. I noticed this problem at Hostel C.,Hostel,Low
Hostel room allocation issue,The bathroom facilities require attention. I noticed this problem at Sports Complex.,Hostel,Medium
Building maintenance issue,Some equipment in the classroom is damaged.,Infrastructure,Low
Student portal not working,I am facing a network connectivity problem.,IT / Wi-Fi,Low
Hostel cleanliness problem,A basic hostel facility is not working properly.,Hostel,Medium
Bus route problem,The college bus service is facing a problem. This has been causing inconvenience at Library.,Transport,High
Student portal not working,Internet speed is extremely slow. I noticed this problem at Hostel B.,IT / Wi-Fi,Low
Bus route problem,The college bus service is facing a problem. I noticed this problem at Computer Lab.,Transport,Medium
Attendance issue,I am facing a problem while registering for my course. The issue is at Computer Lab.,Academic,High
Laboratory facility issue,Practical equipment appears to be damaged. This has been causing inconvenience at Main Gate.,Laboratory,Medium
Plumbing problem,A maintenance request has been pending. The issue is at Academic Block.,Maintenance,High
Library timing problem,The required book is not available in the library. This has been causing inconvenience at Main Gate.,Library,Low
Damaged facility,An electrical repair is required. Students at Hostel B are affected.,Maintenance,High
Electrical repair required,The ceiling fan is not working. I noticed this problem at Hostel B.,Maintenance,Medium
Book return issue,A library facility requires maintenance. Students at Hostel B are affected.,Library,High
Bus overcrowding,The college bus is overcrowded. This has been causing inconvenience at Main Gate.,Transport,Medium
Transport facility issue,The college bus requires maintenance. I noticed this problem at Campus.,Transport,Medium
Bus route problem,There is an issue with the current bus route. This has been causing inconvenience at Main Building.,Transport,High
Campus WiFi issue,WiFi is not working in my hostel. The issue is at Hostel B.,IT / Wi-Fi,Low
Bus delay,The college bus service is facing a problem.,Transport,Medium
Classroom problem,Some equipment in the classroom is damaged.,Infrastructure,High
Transport timing problem,The college bus is overcrowded. This has been causing inconvenience at Main Gate.,Transport,High
Laboratory maintenance,The equipment required for the practical is not working. This has been causing inconvenience at Hostel A.,Laboratory,Low
Damaged facility,The area requires proper cleaning. This has been causing inconvenience at Laboratory Block.,Maintenance,High
Marks not updated,The examination schedule has not been updated properly. I noticed this problem at Campus.,Academic,Medium
Transport facility issue,The college bus service is facing a problem. This has been causing inconvenience at Main Building.,Transport,High
Hostel facility problem,A basic hostel facility is not working properly.,Hostel,Medium
Internal marks issue,My semester result is still not showing.,Academic,High
Library seat problem,The digital library is not accessible. The issue is at Hostel A.,Library,Low
Campus infrastructure problem,The campus infrastructure needs attention. The issue is at Sports Complex.,Infrastructure,Medium
Electrical repair required,A maintenance request has been pending. I noticed this problem at Library.,Maintenance,High
Library book unavailable,I am facing an issue while returning a library book. Students at Academic Block are affected.,Library,Medium
Water supply problem,The bathroom facilities require attention. I noticed this problem at Hostel B.,Hostel,Medium
Course registration problem,My marks have not been updated on the student portal. This has been causing inconvenience at Computer Lab.,Academic,High
Lab equipment problem,There is a problem with the laboratory facilities. The issue is at Sports Complex.,Laboratory,Medium
Maintenance request,The area requires proper cleaning. The issue is at Sports Complex.,Maintenance,High
Hostel cleanliness problem,There is an electricity problem in the hostel.,Hostel,Medium
Classroom problem,The campus infrastructure needs attention. Students at Laboratory Block are affected.,Infrastructure,High
Hostel cleanliness problem,The bathroom facilities require attention. The issue is at Main Building.,Hostel,Medium
Broken light,An electrical repair is required. The issue is at Sports Complex.,Maintenance,Medium
Laboratory computer issue,There is a problem with the laboratory facilities. Students at Laboratory Block are affected.,Laboratory,Medium
Bathroom issue,The bathroom facilities require attention.,Hostel,Medium
Internet speed problem,Internet speed is extremely slow.,IT / Wi-Fi,High
Classroom infrastructure issue,Several chairs and desks are damaged. This has been causing inconvenience at Sports Complex.,Infrastructure,Medium
Bus overcrowding,There is a problem with the transport facility. The issue is at Sports Complex.,Transport,Medium
Reference book unavailable,The library timing is causing difficulty for students. Students at Academic Block are affected.,Library,Medium
Maintenance request,The area requires proper cleaning. Students at Hostel B are affected.,Maintenance,High
Practical equipment damaged,Some required laboratory equipment is missing.,Laboratory,Medium
Broken light,An electrical repair is required. Students at Hostel C are affected.,Maintenance,Low
Network connection problem,The computer network is not accessible.,IT / Wi-Fi,High
Water leakage,The lights in the room are not working. I noticed this problem at Hostel C.,Maintenance,Medium
Result not updated,My semester result is still not showing.,Academic,Medium
Faculty related issue,My marks have not been updated on the student portal. The issue is at Hostel A.,Academic,Medium
Laboratory computer issue,One of the lab workstations is not working. The issue is at Library.,Laboratory,High
Building maintenance issue,Some equipment in the classroom is damaged.,Infrastructure,Low
Laboratory facility issue,A computer in the laboratory is not functioning.,Laboratory,Low
Digital library issue,A library facility requires maintenance. This has been causing inconvenience at Academic Block.,Library,Medium
Broken classroom equipment,Several chairs and desks are damaged. I noticed this problem at Academic Block.,Infrastructure,High
Plumbing problem,There is water leakage that requires immediate repair.,Maintenance,Medium
Hostel electricity problem,My hostel room requires maintenance. Students at Computer Lab are affected.,Hostel,Medium
Campus infrastructure problem,There is an electrical infrastructure problem. I noticed this problem at Library.,Infrastructure,Low
Marks not updated,I am unable to submit my assignment through the portal.,Academic,High
Laboratory maintenance,A computer in the laboratory is not functioning. Students at Campus are affected.,Laboratory,High
Water leakage,A maintenance request has been pending. I noticed this problem at Main Building.,Maintenance,Low
Network connection problem,The student portal is not working properly. This has been causing inconvenience at Hostel C.,IT / Wi-Fi,Medium
Water leakage,There is a plumbing problem that needs attention. This has been causing inconvenience at Hostel B.,Maintenance,High
Cleaning required,A maintenance request has been pending. Students at Hostel B are affected.,Maintenance,Medium
Hostel electricity problem,My hostel room requires maintenance.,Hostel,Medium
Bus delay,The college bus arrived late today. Students at Main Gate are affected.,Transport,High
Classroom infrastructure issue,Water is leaking from the classroom ceiling. I noticed this problem at Academic Block.,Infrastructure,Medium
Water supply problem,I have an issue with my hostel room allocation.,Hostel,Medium
Cleaning required,A campus facility is damaged and needs repair. Students at Computer Lab are affected.,Maintenance,Medium
Campus infrastructure problem,There is a problem with the classroom facilities. The issue is at Academic Block.,Infrastructure,High
Library timing problem,A library facility requires maintenance.,Library,Medium
Marks not updated,I am unable to submit my assignment through the portal. This has been causing inconvenience at Hostel B.,Academic,Medium
Missing lab equipment,The equipment required for the practical is not working.,Laboratory,High
Missing lab equipment,A computer in the laboratory is not functioning. Students at Library are affected.,Laboratory,Low
Internal marks issue,I need assistance regarding an academic issue. This has been causing inconvenience at Main Gate.,Academic,Low
Student portal not working,The student portal is not working properly. I noticed this problem at Main Building.,IT / Wi-Fi,High
Broken fan,A maintenance request has been pending.,Maintenance,Medium
Lab safety issue,One of the lab workstations is not working. This has been causing inconvenience at Hostel C.,Laboratory,Medium
Result not updated,My semester result is still not showing.,Academic,High
Login portal issue,The computer network is not accessible. The issue is at Hostel B.,IT / Wi-Fi,High
Campus infrastructure problem,Water is leaking from the classroom ceiling. Students at Main Gate are affected.,Infrastructure,High
Plumbing problem,An electrical repair is required.,Maintenance,Low
Course registration problem,I am unable to submit my assignment through the portal. I noticed this problem at Computer Lab.,Academic,Low
Result not updated,My internal assessment marks appear to be incorrect. This has been causing inconvenience at Main Building.,Academic,Medium
Classroom infrastructure issue,Several chairs and desks are damaged. Students at Main Building are affected.,Infrastructure,High
Reference book unavailable,The library timing is causing difficulty for students. I noticed this problem at Hostel B.,Library,High
Classroom problem,Some equipment in the classroom is damaged. The issue is at Library.,Infrastructure,Medium
Bus overcrowding,The scheduled bus service did not arrive. I noticed this problem at Laboratory Block.,Transport,Medium
Laboratory maintenance,One of the lab workstations is not working. I noticed this problem at Hostel C.,Laboratory,High
Electrical infrastructure issue,The classroom infrastructure needs maintenance. Students at Academic Block are affected.,Infrastructure,Low
Campus WiFi issue,WiFi is not working in my hostel. I noticed this problem at Computer Lab.,IT / Wi-Fi,Medium
Transport facility issue,There is an issue with the current bus route. The issue is at Computer Lab.,Transport,High
Reference book unavailable,The required reference book is unavailable. The issue is at Computer Lab.,Library,High
Broken classroom equipment,The campus infrastructure needs attention. Students at Hostel B are affected.,Infrastructure,Medium
Damaged furniture,There is a problem with the classroom facilities.,Infrastructure,Medium
Exam schedule problem,My internal assessment marks appear to be incorrect. Students at Hostel B are affected.,Academic,High
Hostel electricity problem,There is a problem with my hostel room. The issue is at Main Building.,Hostel,High
Library computer issue,The digital library is not accessible. The issue is at Hostel C.,Library,Low
Bus maintenance problem,The college bus requires maintenance. I noticed this problem at Main Gate.,Transport,Low
Library book unavailable,The required reference book is unavailable.,Library,High
Building maintenance issue,The classroom infrastructure needs maintenance. I noticed this problem at Main Gate.,Infrastructure,Medium
Attendance issue,My internal assessment marks appear to be incorrect. This has been causing inconvenience at Hostel B.,Academic,Medium
Building maintenance issue,Water is leaking from the classroom ceiling. The issue is at Hostel B.,Infrastructure,Medium
Ceiling leakage,Water is leaking from the classroom ceiling. Students at Main Building are affected.,Infrastructure,Low
Laboratory facility issue,One of the lab workstations is not working.,Laboratory,Medium
Library computer issue,The digital library is not accessible. Students at Campus are affected.,Library,High
Transport facility issue,The college bus requires maintenance.,Transport,High
Room maintenance issue,There is an electricity problem in the hostel. Students at Sports Complex are affected.,Hostel,High
Electrical repair required,There is water leakage that requires immediate repair. I noticed this problem at Campus.,Maintenance,High
Campus WiFi issue,The computer network is not accessible.,IT / Wi-Fi,Low
Laboratory facility issue,One of the lab workstations is not working. This has been causing inconvenience at Hostel B.,Laboratory,Medium
Damaged furniture,There is a problem with the classroom facilities.,Infrastructure,High
Lab equipment problem,A computer in the laboratory is not functioning.,Laboratory,Low
Maintenance request,An electrical repair is required.,Maintenance,Medium
Library seat problem,A computer in the library is not working. The issue is at Campus.,Library,Low
College bus issue,The college bus service is facing a problem. The issue is at Laboratory Block.,Transport,Low
Plumbing problem,The area requires proper cleaning. This has been causing inconvenience at Sports Complex.,Maintenance,High
Laboratory maintenance,Some required laboratory equipment is missing. Students at Academic Block are affected.,Laboratory,Low
Laboratory computer issue,One of the lab workstations is not working. The issue is at Campus.,Laboratory,Low
Electrical repair required,There is water leakage that requires immediate repair. This has been causing inconvenience at Hostel C.,Maintenance,High
Damaged facility,There is a plumbing problem that needs attention.,Maintenance,Medium
Plumbing problem,An electrical repair is required. Students at Hostel C are affected.,Maintenance,Low
Internet connectivity problem,WiFi is not working in my hostel. The issue is at Academic Block.,IT / Wi-Fi,Medium
College bus issue,The transport timing is inconvenient.,Transport,Medium
Bathroom issue,A basic hostel facility is not working properly. This has been causing inconvenience at Hostel C.,Hostel,High
Attendance issue,The examination schedule has not been updated properly. This has been causing inconvenience at Hostel C.,Academic,High
Bus delay,The college bus requires maintenance. Students at Sports Complex are affected.,Transport,Medium
Lab workstation problem,The equipment required for the practical is not working. The issue is at Library.,Laboratory,Low
Maintenance request,A campus facility is damaged and needs repair.,Maintenance,Medium
Faculty related issue,My internal assessment marks appear to be incorrect.,Academic,High
WiFi not working,WiFi is not working in my hostel.,IT / Wi-Fi,Medium
Bathroom issue,My hostel room requires maintenance. The issue is at Computer Lab.,Hostel,High
Reference book unavailable,A library facility requires maintenance. Students at Hostel A are affected.,Library,Medium
Computer network issue,I cannot log in to the student portal. Students at Computer Lab are affected.,IT / Wi-Fi,Medium
Reference book unavailable,The library timing is causing difficulty for students. This has been causing inconvenience at Main Building.,Library,High
Reference book unavailable,The library timing is causing difficulty for students. Students at Sports Complex are affected.,Library,Medium
Hostel facility problem,I have an issue with my hostel room allocation. Students at Hostel C are affected.,Hostel,Medium
Bus route problem,There is a problem with the transport facility. I noticed this problem at Computer Lab.,Transport,Medium
WiFi not working,WiFi is not working in my hostel. I noticed this problem at Library.,IT / Wi-Fi,Medium
Damaged furniture,The classroom infrastructure needs maintenance. I noticed this problem at Hostel B.,Infrastructure,High
Hostel cleanliness problem,Water supply has been irregular in the hostel. Students at Campus are affected.,Hostel,High
Laboratory maintenance,The laboratory requires maintenance.,Laboratory,Medium
Broken classroom equipment,The classroom infrastructure needs maintenance. This has been causing inconvenience at Computer Lab.,Infrastructure,Low
Water supply problem,There is a problem with my hostel room. The issue is at Campus.,Hostel,Medium
Hostel cleanliness problem,There is an electricity problem in the hostel. I noticed this problem at Hostel C.,Hostel,High
Bus route problem,The college bus service is facing a problem. I noticed this problem at Main Gate.,Transport,Medium
Broken classroom equipment,The building requires maintenance. This has been causing inconvenience at Computer Lab.,Infrastructure,Low
Computer network issue,I cannot log in to the student portal.,IT / Wi-Fi,Medium
Bathroom issue,There is an electricity problem in the hostel. I noticed this problem at Laboratory Block.,Hostel,Medium
Ceiling leakage,The building requires maintenance. This has been causing inconvenience at Hostel C.,Infrastructure,High
Damaged facility,The area requires proper cleaning. This has been causing inconvenience at Hostel A.,Maintenance,Medium
Attendance issue,My attendance is incorrect in the academic record. I noticed this problem at Library.,Academic,High
Ceiling leakage,The classroom infrastructure needs maintenance. The issue is at Laboratory Block.,Infrastructure,Medium
Result not updated,My internal assessment marks appear to be incorrect.,Academic,Medium
Digital library issue,The required book is not available in the library.,Library,Medium
Damaged facility,The lights in the room are not working.,Maintenance,High
Library facility problem,I am facing an issue while returning a library book. The issue is at Main Building.,Library,Low
Library facility problem,The library timing is causing difficulty for students.,Library,Medium
Internet connectivity problem,I am facing a network connectivity problem. I noticed this problem at Campus.,IT / Wi-Fi,Medium
Marks not updated,My semester result is still not showing. I noticed this problem at Academic Block.,Academic,High
Hostel room issue,There is an electricity problem in the hostel.,Hostel,Medium
Hostel room issue,Water supply has been irregular in the hostel. I noticed this problem at Computer Lab.,Hostel,Low
Missing bus service,The transport timing is inconvenient.,Transport,Medium
Library seat problem,There are not enough seats available in the library.,Library,Medium
Broken light,An electrical repair is required.,Maintenance,Medium
Reference book unavailable,A computer in the library is not working. This has been causing inconvenience at Hostel C.,Library,High
Water supply problem,There is a problem with my hostel room. Students at Laboratory Block are affected.,Hostel,High
Computer network issue,The internet connection is unavailable.,IT / Wi-Fi,High
Maintenance request,There is a plumbing problem that needs attention. This has been causing inconvenience at Sports Complex.,Maintenance,High
Bus maintenance problem,There is a problem with the transport facility. Students at Hostel C are affected.,Transport,Medium
Bus maintenance problem,The college bus service is facing a problem.,Transport,Low
Computer network issue,The computer network is not accessible. Students at Hostel A are affected.,IT / Wi-Fi,Medium
Room maintenance issue,Water supply has been irregular in the hostel. I noticed this problem at Hostel B.,Hostel,Medium
Exam schedule problem,My attendance is incorrect in the academic record. I noticed this problem at Library.,Academic,Medium
Practical equipment damaged,There is a problem with the laboratory facilities. Students at Hostel A are affected.,Laboratory,Medium
Water leakage,There is a plumbing problem that needs attention. Students at Main Building are affected.,Maintenance,Medium
Bus delay,There is an issue with the current bus route. I noticed this problem at Campus.,Transport,Low
Internal marks issue,I need assistance regarding an academic issue. I noticed this problem at Sports Complex.,Academic,High
Library facility problem,The required reference book is unavailable. Students at Sports Complex are affected.,Library,High
Electrical infrastructure issue,There is an electrical infrastructure problem. This has been causing inconvenience at Main Gate.,Infrastructure,Medium
Library computer issue,A library facility requires maintenance. Students at Laboratory Block are affected.,Library,High
Library book unavailable,The required reference book is unavailable. The issue is at Main Building.,Library,High
Classroom infrastructure issue,There is a problem with the classroom facilities. The issue is at Campus.,Infrastructure,Low
WiFi not working,The student portal is not working properly.,IT / Wi-Fi,Low
Hostel room allocation issue,There is a problem with my hostel room. Students at Main Building are affected.,Hostel,Medium
Bus route problem,The scheduled bus service did not arrive.,Transport,Low
Bus delay,The scheduled bus service did not arrive. Students at Laboratory Block are affected.,Transport,High
Course registration problem,My internal assessment marks appear to be incorrect. The issue is at Main Building.,Academic,Low
Hostel room allocation issue,The bathroom facilities require attention. Students at Hostel C are affected.,Hostel,Medium
Hostel room allocation issue,The bathroom facilities require attention. Students at Laboratory Block are affected.,Hostel,Low
Library timing problem,The required book is not available in the library. I noticed this problem at Hostel A.,Library,High
Hostel electricity problem,I have an issue with my hostel room allocation. I noticed this problem at Laboratory Block.,Hostel,Medium
Electrical repair required,There is water leakage that requires immediate repair. Students at Academic Block are affected.,Maintenance,Medium
Transport facility issue,There is an issue with the current bus route. The issue is at Main Building.,Transport,Medium
Transport facility issue,There is an issue with the current bus route. The issue is at Computer Lab.,Transport,High
WiFi not working,I am facing a network connectivity problem.,IT / Wi-Fi,Low
Campus WiFi issue,I am facing a network connectivity problem. This has been causing inconvenience at Sports Complex.,IT / Wi-Fi,High
Hostel cleanliness problem,I have an issue with my hostel room allocation.,Hostel,Medium
Internet speed problem,The computer network is not accessible. The issue is at Hostel A.,IT / Wi-Fi,High
Missing lab equipment,The equipment required for the practical is not working. This has been causing inconvenience at Hostel A.,Laboratory,Medium
Lab workstation problem,The laboratory requires maintenance. Students at Main Gate are affected.,Laboratory,Medium
Exam schedule problem,My attendance is incorrect in the academic record. The issue is at Main Building.,Academic,High
Hostel room allocation issue,The bathroom facilities require attention. Students at Laboratory Block are affected.,Hostel,Medium
Library seat problem,The required reference book is unavailable. Students at Main Building are affected.,Library,High
Digital library issue,I am facing an issue while returning a library book.,Library,Medium
Exam schedule problem,My marks have not been updated on the student portal. This has been causing inconvenience at Sports Complex.,Academic,Low
Exam schedule problem,My internal assessment marks appear to be incorrect. This has been causing inconvenience at Campus.,Academic,High
Water supply problem,There is a problem with my hostel room. This has been causing inconvenience at Main Gate.,Hostel,Low
Library facility problem,The digital library is not accessible. Students at Laboratory Block are affected.,Library,Low
Hostel facility problem,There is an electricity problem in the hostel. This has been causing inconvenience at Academic Block.,Hostel,Low
WiFi not working,I am facing a network connectivity problem. I noticed this problem at Main Gate.,IT / Wi-Fi,Medium
